기능,카테고리,Free,유료
! 홈팁스 육아가족 생활밀착 DB 콘텐츠 60만건 - 메시징 type으로 이용,email,✅,✅
이메일 내용 header 설정,email,✅,✅
메시징 전송시 홈팁스 콘텐츠 활용,email,✅,✅
이메일 내용 footer 설정,email,✅,✅
이메일 발송 대상,email,직접 모집한 이메일 구독자만,홈팁스 전체 유저
세그먼트,email,🚫 기능 준비중,🚫 기능 준비중
발송결과 통계 (대시보드),email,✅ 기능 준비중,✅
이메일 이미지 용량-수 제한,email,"1건 발송당 [ 이미지 용량 500kb 이내, 이미지 1개 이내 ]","1건 발송당 [ 이미지 용량 2MB 이내,
이미지 4개 이내 ]"
이메일 구독자 모집 페이지,email,✅,✅
상담채널 - 이메일,email,✅,
상담채널 - Forum,email,✅,
상담채널 - Chat,email,,✅
Priority support,email,,✅
홈팁스 스폰서 배너 제거,email,,✅
이메일 건당 발송 비용,email,무료,건당 10원 5원
이메일 발송 주기,email,"- 주 2회 발송 횟수 고정
- 발송 시간 고정","- 주 2회+@(custom 설정 가능)
- 발송 시간 고정(발송시간 조정가능 준비중)"
