기능,Free,Paid,Pricing Option
! 홈팁스 육아가족 생활밀착 DB 콘텐츠 60만건 - 미니페이지 type으로 이용,✅,✅,"공공기관, 일반"
custom HTML 삽입,,✅,"공공기관, 일반"
custom 도메인 설정,공공기관 만,✅,"공공기관, 일반"
custom 로고 삽입,✅,✅,"공공기관, 일반"
custom 배너 삽입,✅ 1개,✅ 5개 까지,"공공기관, 일반"
"Native Hybrid App 내부 삽입 - 링크URL, WebView",✅,✅,"공공기관, 일반"
Search Engine Allowance & Sitemap,,✅,"공공기관, 일반"
SSL https 지원,✅,✅,"공공기관, 일반"
"Web페이지 내부 삽입 - iFrame, 링크URL",✅,✅,"공공기관, 일반"
사용량 등 정보분석시각화,공공기관 만,✅,"공공기관, 일반"
이미지 용량-수 제한,"1건 발송당 [ 이미지 용량 500kb 이내, 이미지 1개 이내 ]","1건 발송당 [ 이미지 용량 2MB 이내,
이미지 4개 이내 ]","공공기관, 일반"
"지원 View 크기: Mobile View, PC View(예정)",✅,✅,"공공기관, 일반"
홈팁스 스폰서 배너 제거,공공기관 만,✅,"공공기관, 일반"
